scenario,severity,triple,expected,protocol_certified,status,numeric_pass,reasons,point_order,point_order_error,interval_lower,interval_upper,imaginary_invariant,invariant_error,reciprocal_margin,denominator_margin
independent_lambda,0.01,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7992716554119397,3.634581220063079e-05,,,0.0004367941761085513,6.219459203294418e-06,0.9999989996628103,0.9999972270942511
independent_lambda,0.01,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7987158623745927,8.86372644926183e-05,,,0.0010746590035603971,2.238745276996762e-05,0.9999991577325725,0.9999916066716799
independent_lambda,0.01,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.798914975362186,4.664748031118725e-05,,,0.0031155634481744962,3.7995621641755654e-05,0.9999989996628103,0.9999916066716799
independent_lambda,0.01,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7991051483095359,5.4022246846018885e-05,,,0.0005800779170112641,1.0274337105631856e-05,0.9999989996628103,0.9999954474100593
independent_lambda,0.01,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7992705756525538,9.75869285681923e-05,,,0.0005925134206696223,2.3808936409927314e-05,0.9999989996628103,0.9999908571620505
per_window_normalization,0.01,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7507066046095132,6.750158732259582e-05,,,0.00020014532354239122,1.3738928985349118e-05,0.9999992897780706,0.9999941334503745
per_window_normalization,0.01,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.763465363697378,3.4222544620988693e-05,,,-0.0006232219130616947,2.2638685771892803e-05,0.9999991621068443,0.9999941334503745
per_window_normalization,0.01,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7681677565347624,2.383861140463279e-05,,,-0.002352158662169039,3.362880461304981e-05,0.9999990099501663,0.9999941334503745
per_window_normalization,0.01,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7747591236944573,4.3446841137984836e-05,,,-0.0004873216199951147,8.067630634437746e-06,0.9999991621068443,0.999996345881752
per_window_normalization,0.01,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7757110316589206,2.318682647257634e-05,,,-0.0014526600236690775,1.2094736624490033e-05,0.9999990099501663,0.999996345881752
per_window_normalization,0.01,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7766192369996132,3.680352472327179e-05,,,-0.0004596137560861062,6.2977825145383275e-06,0.9999990099501663,0.9999971541444153
per_window_normalization,0.01,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7881219281696757,9.121329086363637e-05,,,-0.0011428204367192616,2.3038089599132864e-05,0.9999991621068443,0.9999913055776649
per_window_normalization,0.01,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7846048869248989,4.784500899643657e-05,,,-0.003296646986035865,3.897104081823302e-05,0.9999990099501663,0.9999913055776649
per_window_normalization,0.01,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.78126562339894,5.49965706789939e-05,,,-0.0006122993742893877,1.0459640977545403e-05,0.9999990099501663,0.9999953141293932
per_window_normalization,0.01,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7783478545843532,9.948196932771622e-05,,,-0.0006235583401481825,2.4271282193319776e-05,0.9999990099501663,0.9999906073070232
independent_q,0.05,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,7.016646197239097e-05,,,1.0299824547820928,1.4281323987016536e-05,0.9999992897780706,0.9999937019166564
independent_q,0.05,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,3.289372918694185e-05,,,0.9383655374346775,2.1759656015532193e-05,0.9999991786982404,0.9999937019166564
independent_q,0.05,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,2.289307125472017e-05,,,2.3516989972703803,3.2294943994430645e-05,0.9999990487705755,0.9999937019166564
independent_q,0.05,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,4.770993267602831e-05,,,-0.4341831432827112,8.859242797460171e-06,0.9999991786982404,0.9999958377267767
independent_q,0.05,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6767356940859828,2.4738861560769128e-05,,,-0.007739125191041187,1.2904310787037046e-05,0.9999990487705755,0.9999958377267767
independent_q,0.05,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.4522073972682846,4.0074573798906565e-05,,,0.3925378322440409,6.857521176191659e-06,0.9999990487705755,0.9999967983986295
independent_q,0.05,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,6.503383605885629e-05,,,-1.0149900743365394,1.642584461007044e-05,0.9999991786982404,0.9999924696159902
independent_q,0.05,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,3.302137181700083e-05,,,-1.0646214964550857,2.6896791451125728e-05,0.9999990487705755,0.9999924696159902
independent_q,0.05,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8280728969217308,6.286272449537318e-05,,,0.46980961137083516,1.195568234481018e-05,0.9999990487705755,0.9999947056018778
independent_q,0.05,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,9.148401658909664e-05,,,1.207828430578185,2.2319968108971553e-05,0.9999990487705755,0.9999907459903467
independent_lambda,0.05,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8019802872011496,6.549543359921687e-05,,,-0.0012779851890318504,1.3330606683127187e-05,0.9999992897780706,0.999994380613069
independent_lambda,0.05,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7992183556601957,3.33435840179728e-05,,,0.0017439178215759572,2.2057241197331668e-05,0.9999991570246065,0.999994380613069
independent_lambda,0.05,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7983064417472633,2.332669768697863e-05,,,0.008581989923170828,3.2906654899816675e-05,0.9999989982730708,0.999994380613069
independent_lambda,0.05,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7967672767117618,4.2361961471173954e-05,,,0.0019530505557707135,7.866179661124291e-06,0.9999991570246065,0.9999964859660259
independent_lambda,0.05,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7967136188702171,2.2716473550216774e-05,,,0.005937427737074306,1.1849390642226076e-05,0.9999989982730708,0.9999964859660259
independent_lambda,0.05,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7966741319167339,3.623059421635245e-05,,,0.0019032755441733761,6.199743216518573e-06,0.9999989982730708,0.9999972411465011
independent_lambda,0.05,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7938699067199193,8.81312127657851e-05,,,0.004871439075678187,2.2259637350589665e-05,0.9999991570246065,0.999991659201164
independent_lambda,0.05,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7948381044207051,4.636727419568941e-05,,,0.014071314497878155,3.7767386258512276e-05,0.9999989982730708,0.999991659201164
independent_lambda,0.05,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7957829587045123,5.38463478776059e-05,,,0.0026098937335911755,1.0240883382332284e-05,0.9999989982730708,0.9999954673549802
independent_lambda,0.05,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7965967005560741,9.731659820863402e-05,,,0.002650970611369457,2.3742982101959745e-05,0.9999989982730708,0.9999908866100219
per_window_normalization,0.05,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.5355689053420063,7.395677336523053e-05,,,0.0016912616076945758,1.5052784646300183e-05,0.9999992897780706,0.9999932855012987
per_window_normalization,0.05,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6075414815168186,3.685906921215127e-05,,,-0.0022508866401258374,2.4382783191013163e-05,0.9999991786982404,0.9999932855012987
per_window_normalization,0.05,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6340680639457332,2.523051649052504e-05,,,-0.010803345012310828,3.5592346170855647e-05,0.9999990487705755,0.9999932855012987
per_window_normalization,0.05,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6712995775222226,4.7255633821228216e-05,,,-0.0026101434875147166,8.774884182145998e-06,0.9999991786982404,0.9999958377267767
per_window_normalization,0.05,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6767356940859828,2.473886156076914e-05,,,-0.0077391251910419205,1.2904310787037053e-05,0.9999990487705755,0.9999958377267767
per_window_normalization,0.05,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6819611727387382,3.891983520325011e-05,,,-0.002498133863552312,6.659923457188692e-06,0.9999990487705755,0.9999968258652641
per_window_normalization,0.05,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7481706305845363,0.00010295436169040207,,,-0.006773573742798612,2.600357674618885e-05,0.9999991786982404,0.999989938763791
per_window_normalization,0.05,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7280481150302873,5.331734343897027e-05,,,-0.01908261531696486,4.342840373662826e-05,0.9999990487705755,0.999989938763791
per_window_normalization,0.05,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7088816402549125,5.952526905479764e-05,,,-0.0034902618690660237,1.1320941209935941e-05,0.9999990487705755,0.9999947056018778
per_window_normalization,0.05,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6920503993054805,0.00010819309371035644,,,-0.003487819476794165,2.6396593539094107e-05,0.9999990487705755,0.9999894694227062
independent_q,0.2,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,2.3077862261998215e-05,,,0.4156180769116151,4.697150442344129e-06,0.9999992897780706,0.9999966200832898
independent_q,0.2,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,7.631039878792587e-06,,,0.38708564986287175,5.048038240348048e-06,0.9999992380426422,0.9999966200832898
independent_q,0.2,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,4.744525625835836e-06,,,0.8610077407025379,6.693037717030521e-06,0.999999181269247,0.9999966200832898
independent_q,0.2,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,0.00014791832628502399,,,-2.5766411787706427,2.7466908738929962e-05,0.9999992380426422,0.9999916641417964
independent_q,0.2,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,3.835393007585176e-05,,,-0.0424620325897083,2.0006217035788736e-05,0.999999181269247,0.9999916641417964
independent_q,0.2,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,3.4104070781633644e-05,,,0.7933804234887678,5.835854643219513e-06,0.999999181269247,0.9999964940989492
independent_q,0.2,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,1.6165020139287555e-05,,,-0.3179910153962818,4.0828609385165985e-06,0.9999992380426422,0.9999967122987263
independent_q,0.2,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,6.2431657155004356e-06,,,-0.31846648580766634,5.085225628275695e-06,0.999999181269247,0.9999967122987263
independent_q,0.2,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,1.0,0.0002475972962086753,,,3.389453620920484,4.7089823845014414e-05,0.999999181269247,0.9999891396756876
independent_q,0.2,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,2.1460969110943117e-05,,,0.37953823209174303,5.2359763377613195e-06,0.999999181269247,0.999996177556004
independent_lambda,0.2,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8167246599386997,6.3996587035082e-05,,,-0.00939576118174537,1.3025539094032283e-05,0.9999992897780706,0.9999945490734762
independent_lambda,0.2,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.80492315787551,3.2597968422720786e-05,,,-0.009556361327522684,2.156400618647918e-05,0.9999991542101521,0.9999945490734762
independent_lambda,0.2,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8006523846076334,2.281481564429115e-05,,,-0.0028749306822337777,3.218454987002787e-05,0.9999989924232023,0.9999945490734762
independent_lambda,0.2,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7944003952718048,4.160982655269026e-05,,,0.0029045997518837474,7.726515958294483e-06,0.9999991542101521,0.9999965741366031
independent_lambda,0.2,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7936283170983187,2.232674577744579e-05,,,0.009880203305707009,1.1646100434638196e-05,0.9999989924232023,0.9999965741366031
independent_lambda,0.2,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7929243264748947,3.583088872609876e-05,,,0.0034799233985870546,6.131346010913618e-06,0.9999989924232023,0.9999972921847238
independent_lambda,0.2,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.781726842036187,8.626851492767208e-05,,,0.012304966124647843,2.1789168636170472e-05,0.9999991542101521,0.9999918576116782
independent_lambda,0.2,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7852048369367366,4.5373306762246485e-05,,,0.0341595724883421,3.695777317173067e-05,0.9999989924232023,0.9999918576116782
independent_lambda,0.2,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7886584969415706,5.3179866897888185e-05,,,0.006001281088565655,1.0114127264993633e-05,0.9999989924232023,0.9999955460345463
independent_lambda,0.2,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.791595025303468,9.621567642537331e-05,,,0.005638783478990116,2.347438284266815e-05,0.9999989924232023,0.999991012857223
per_window_normalization,0.2,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,0.00011492787986083456,,,0.03873790318561268,2.3391834806767327e-05,0.9999992897780706,0.9999870883777138
per_window_normalization,0.2,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,5.353589824255396e-05,,,0.035650633692281636,3.541473584889121e-05,0.9999992380426422,0.9999870883777138
per_window_normalization,0.2,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,3.444080766216889e-05,,,0.00970448786665228,4.858517855455379e-05,0.999999181269247,0.9999870883777138
per_window_normalization,0.2,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,7.836577265317836e-05,,,-0.013795919203560093,1.45517163409015e-05,0.9999992380426422,0.9999916641417964
per_window_normalization,0.2,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,3.835393007585175e-05,,,-0.04246203258970941,2.000621703578873e-05,0.999999181269247,0.9999916641417964
per_window_normalization,0.2,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,5.893460859908037e-05,,,-0.01566193367289944,1.008483155695564e-05,0.999999181269247,0.999993992527001
per_window_normalization,0.2,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8297799460829992,0.0002207013027738706,,,-0.08129922945860217,5.5743371824520065e-05,0.9999992380426422,0.9999770008414781
per_window_normalization,0.2,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6650048213094122,0.00011058047439680099,,,-0.2042156333383817,9.007075705092382e-05,0.999999181269247,0.9999770008414781
per_window_normalization,0.2,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.5099117795070925,0.00010421771603341321,,,-0.03204788719872797,1.9820870278837923e-05,0.999999181269247,0.9999891396756876
per_window_normalization,0.2,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency|invariant_out_of_range,0.4,0.0001862974743407506,,,-0.026927782674425443,4.545224227248328e-05,0.999999181269247,0.9999797035148539
