"id","priority","download","year","title","authors","doi","category","landing_url","pdf_url","access_status","license_or_access_basis","local_filename","relevance"
"liu2011","A","0","2011","Noninvasive Estimation of Global Activation Sequence Using the Extended Kalman Filter","Chenguang Liu; Bin He","10.1109/TBME.2010.2066564","cardiac_inverse","https://pmc.ncbi.nlm.nih.gov/articles/PMC3235525/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3235525/pdf/nihms340411.pdf","free_full_text","NIH author manuscript; NCBI marks non-OA and automated endpoint returns bot-check HTML","liu2011_ekf_global_activation.pdf","Direct EKF reconstruction of cardiac activation from body-surface potentials."
"alagoz2019","A","0","2019","Complexity reduction in human atrial modeling using extended Kalman filter","Celal Alagoz; Saran Phatharodom; Allon Guez","10.1007/s11517-018-1921-1","cardiac_inverse","https://pubmed.ncbi.nlm.nih.gov/30402788/","","subscription","PubMed metadata/abstract only","","Reduced atrial electrophysiology model parameter estimation with EKF."
"gillette2021","A","1","2021","A Framework for the generation of digital twins of cardiac electrophysiology from clinical 12-leads ECGs","Karli Gillette et al.","10.1016/j.media.2021.102080","cardiac_twin","https://doi.org/10.1016/j.media.2021.102080","https://zenodo.org/records/7944373/files/gillette_2021_framework_coverletter.pdf?download=1","repository_full_text","Zenodo author archive; reuse license not clearly stated","gillette2021_ecg_cardiac_digital_twins.pdf","Benchmark ECG plus MRI anatomical/functional cardiac twinning workflow."
"camps2021","A","1","2021","Inference of ventricular activation properties from non-invasive electrocardiography","Julia Camps; Brodie Lawson; Christopher Drovandi; Ana Minchole; et al.","10.1016/j.media.2021.102143","cardiac_twin","https://pmc.ncbi.nlm.nih.gov/articles/PMC8505755/","https://pmc-oa-opendata.s3.amazonaws.com/PMC8505755.1/PMC8505755.1.pdf?md5=b097fd57d6395488ccac686ed5f22c6a","open_access","CC BY 4.0; official PMC Cloud published version","camps2021_ventricular_activation_inference.pdf","Shows parameter-specific identifiability limits using ECG plus CMR."
"camps2024","B","1","2024","Digital twinning of the human ventricular activation sequence to Clinical 12-lead ECGs and magnetic resonance imaging using realistic Purkinje networks for in silico clinical trials","Julia Camps et al.","10.1016/j.media.2024.103108","cardiac_twin","https://doi.org/10.1016/j.media.2024.103108","https://arxiv.org/pdf/2306.13740","author_preprint","Journal CC BY; arXiv author version","camps2024_ventricular_activation_digital_twinning.pdf","Full ECG/CMR/Purkinje digital-twin pipeline."
"camps2025","B","0","2025","Harnessing 12-lead ECG and MRI data to personalise repolarisation profiles in cardiac digital twin models for enhanced virtual drug testing","Julia Camps; Zhinuo Jenny Wang; Ruben Doste; et al.","10.1016/j.media.2024.103361","cardiac_twin","https://pubmed.ncbi.nlm.nih.gov/39608251/","https://ora.ox.ac.uk/objects/uuid:385b81b0-0539-47dd-a04f-c3f9c1c6c5b2/files/snp193c53f","open_access","CC BY","camps2025_repolarisation_digital_twin.pdf","Demonstrates personalization, uncertainty, and virtual intervention expectations."
"grandits2025","A","1","2025","Accurate and efficient cardiac digital twin from surface ECGs: Insights into identifiability of ventricular conduction system","Thomas Grandits; Karli Gillette; Gernot Plank; Simone Pezzuto","10.1016/j.media.2025.103641","cardiac_twin","https://doi.org/10.1016/j.media.2025.103641","https://arxiv.org/pdf/2411.00165","author_preprint","arXiv author version; reuse license not confirmed","grandits2025_cdt_identifiability.pdf","Closest evidence that different activation maps can yield indistinguishable ECGs."
"cluitmans2024","A","1","2024","Digital twins for cardiac electrophysiology: state of the art and future challenges","Matthijs J. M. Cluitmans; Gernot Plank; Jordi Heijman","10.1007/s00399-024-01014-0","review","https://pmc.ncbi.nlm.nih.gov/articles/PMC11161534/","https://pmc-oa-opendata.s3.amazonaws.com/PMC11161534.1/PMC11161534.1.pdf?md5=8e90a8da684fbe4d14cc08f1d68a58a6","open_access","CC BY 4.0; official PMC Cloud published version","cluitmans2024_cardiac_dt_state_of_art.pdf","Defines current cardiac-twin expectations and ECG identifiability limits."
"li2024","A","1","2024","Solving the Inverse Problem of Electrocardiography for Cardiac Digital Twins: A Survey","Lei Li; Julia Camps; Blanca Rodriguez; Vicente Grau","10.1109/RBME.2024.3486439","review","https://ora.ox.ac.uk/objects/uuid:4d21d27c-a839-4ed0-9cdf-ec2c8b0d38f5","https://ora.ox.ac.uk/objects/uuid%3A4d21d27c-a839-4ed0-9cdf-ec2c8b0d38f5/files/sxg94hr514","repository_full_text","Oxford accepted manuscript; publisher reuse rights remain","li2024_inverse_ecg_cdt_survey.pdf","Current map of deterministic/probabilistic ECG inverse methods and validation."
"hapi_ep2026","A","1","2026","HAPI-EP: Towards Hybrid, Adaptive, and Predictive Digital Twins of Cardiac Electrophysiology","Sumeet Vadhavkar; Xiajun Jiang; Yubo Ye; Maryam Toloubidokhti; Linwei Wang","10.48550/arXiv.2606.15637","cardiac_twin","https://arxiv.org/abs/2606.15637","https://arxiv.org/pdf/2606.15637","preprint","arXiv preprint; not peer reviewed as of 2026-07-11","vadhavkar2026_hapi_ep_preprint.pdf","Newest adaptive/predictive cardiac EP twin and a warning that online adaptation alone is not novel."
"iyengar1996","A","0","1996","Age-related alterations in the fractal scaling of cardiac interbeat interval dynamics","N. Iyengar; C.-K. Peng; R. Morin; A. L. Goldberger; L. A. Lipsitz","10.1152/ajpregu.1996.271.4.R1078","dataset_basis","https://doi.org/10.1152/ajpregu.1996.271.4.R1078","","subscription","Metadata/abstract and local Fantasia data","","Motivates long-memory testing in Fantasia but does not validate a cardiac-model fractional order."
"fantasia2003","A","0","2003","Fantasia Database","Chung-Kang Peng; Lewis Lipsitz","10.13026/C2RG61","dataset_basis","https://physionet.org/content/fantasia/1.0.0/","","open_data","Open Data Commons Attribution License v1.0","","Authoritative dataset version, DOI, access, license, and required citations for the four-record pilot."
"goldberger2000","A","0","2000","PhysioBank, PhysioToolkit, and PhysioNet: Components of a new research resource for complex physiologic signals","Ary L. Goldberger; Luis A. N. Amaral; Leon Glass; Jeffrey M. Hausdorff; Plamen Ch. Ivanov; Roger G. Mark; Joseph E. Mietus; George B. Moody; Chung-Kang Peng; H. Eugene Stanley","10.1161/01.CIR.101.23.e215","dataset_basis","https://physionet.org/about/citation/","","free_full_text","PhysioNet standard citation","","Required standard citation for data obtained through PhysioNet."
"wagner2020","A","1","2020","PTB-XL, a large publicly available electrocardiography dataset","Patrick Wagner; Nils Strodthoff; Ralf-Dieter Bousseljot; et al.","10.1038/s41597-020-0495-6","dataset_basis","https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/","https://link.springer.com/content/pdf/10.1038/s41597-020-0495-6.pdf","open_access","CC BY 4.0","wagner2020_ptb_xl.pdf","Defines the local short-record dataset and patient-level stratified folds."
"guermah2008","A","1","2008","Controllability and observability of linear discrete-time fractional-order systems","Said Guermah; Said Djennoune; Maamar Bettayeb","10.2478/v10006-008-0019-6","fractional_observability","https://doi.org/10.2478/v10006-008-0019-6","https://sciendo.com/2/v2/download/article/10.2478/v10006-008-0019-6.pdf","free_full_text","Publisher full text; reuse license not stated in retrieved copy","guermah2008_discrete_fractional_observability.pdf","Prior observability matrices and Gramians for linear discrete fractional systems."
"djennoune2019","A","1","2019","Synchronization of fractional-order discrete-time chaotic systems by an exact delayed state reconstructor: Application to secure communication","Said Djennoune; Maamar Bettayeb; Ubaid Muhsen Al-Saggaf","10.2478/amcs-2019-0014","fractional_observability","https://doi.org/10.2478/amcs-2019-0014","https://sciendo.com/2/v2/download/article/10.2478/amcs-2019-0014.pdf","open_access","CC BY-NC-ND 3.0","djennoune2019_output_memory_observability.pdf","Prior output-memory observability rank test and exact delayed state reconstruction."
"takha_thesis2025","A","1","2025","Contribution to the Modeling of Non-Stationary Biomedical Signals","Abdelghani Takha","","thesis","https://dspace.univ-bba.dz/items/62d0638f-8ff1-4b33-ab81-5a982d225614","https://dspace.univ-bba.dz/server/api/core/bitstreams/5ab08986-cfef-4e12-bcbd-28255b9912c2/content","repository_full_text","University doctoral repository; reuse license not stated","takha2025_doctoral_thesis.pdf","Confirms the mixed integer-phase/fractional-morphology McSharry construction and per-beat GA fitting, without observability, identifiability, or observer theory."
"tavazoei2009","A","0","2009","A proof for non existence of periodic solutions in time invariant fractional order systems","Mohammad Saleh Tavazoei; Mohammad Haeri","10.1016/j.automatica.2009.04.001","fractional_periodicity","https://doi.org/10.1016/j.automatica.2009.04.001","","subscription","Publisher metadata and abstract only","","General no-periodic-orbit theorem that rules out naive full Caputo fractionalization of an ECG limit cycle."
"yazdani2011","A","0","2011","On the existence of periodic solutions in time-invariant fractional order systems","M. Yazdani; H. Salarieh","10.1016/j.automatica.2011.04.013","fractional_periodicity","https://doi.org/10.1016/j.automatica.2011.04.013","","subscription","Publisher metadata and abstract only","","Distinguishes finite lower-terminal transients from periodic steady-state responses with infinite history."
"zhangzhou2013","A","0","2013","Nonexistence of periodic solutions and asymptotically periodic solutions for fractional differential equations","Liangliang Zhang; Yong Zhou","10.1016/j.cnsns.2012.07.004","fractional_periodicity","https://doi.org/10.1016/j.cnsns.2012.07.004","","subscription","Publisher metadata and abstract only","","Prior general existence and uniqueness results for asymptotically periodic fractional responses."
"nazarian2010","A","0","2010","Identifiability of fractional order systems using input output frequency contents","N. Nazarian; M. Haeri; M. S. Tavazoei","10.1016/j.isatra.2009.11.007","fractional_identifiability","https://doi.org/10.1016/j.isatra.2009.11.007","","subscription","Publisher metadata and abstract only","","General frequency-domain identifiability and practical loss of sensitivity for smaller fractional orders."
"alavi2015","A","0","2015","Structural Identifiability Analysis of Fractional Order Models with Applications in Battery Systems","S. M. Mahdi Alavi; Adam Mahdi; Pierre E. Jacob; Stephen J. Payne; David A. Howey","10.48550/arXiv.1511.01402","fractional_identifiability","https://arxiv.org/abs/1511.01402","https://arxiv.org/pdf/1511.01402","preprint","arXiv author preprint","alavi2015_fractional_structural_identifiability.pdf","Prior coefficient-mapping structural identifiability theory; generic alpha identifiability is not new."
"sadeghian2013_general_fkf","A","0","2013","On the general Kalman filter for discrete time stochastic fractional systems","Hoda Sadeghian; Hassan Salarieh; Aria Alasty; Ali Meghdari","10.1016/j.mechatronics.2013.02.006","fractional_filter","https://doi.org/10.1016/j.mechatronics.2013.02.006","","subscription","Publisher metadata and abstract only","","Prior cumulative-vector linear FKF retaining full historical correlation; full covariance alone is not novel."
"naifar2021","A","0","2021","On the Stabilization and Observer Design of Polytopic Perturbed Linear Fractional-Order Systems","Omar Naifar; Abdellatif Ben Makhlouf","10.1155/2021/6699756","fractional_observer","https://doi.org/10.1155/2021/6699756","","open_access","Gold open access; metadata reviewed","","Prior polytopic Caputo observer and practical Mittag-Leffler stability; a generic LMI/UUB claim is not novel."
"rauh_lahme2025","A","0","2025","Observer-based error correction in finite memory approaches for pseudo state estimation of fractional dynamic models","Andreas Rauh; Marit Lahme","10.1016/j.arcontrol.2025.101018","fractional_observer","https://doi.org/10.1016/j.arcontrol.2025.101018","","open_access","CC licensed publisher article","","Closest finite-memory truncation-error unknown-input and interval-observer work."
"duan2022","B","0","2022","A Comparative Study of Responses of Fractional Oscillator to Sinusoidal Excitation in the Weyl and Caputo Senses","Jun-Sheng Duan; Yu-Jie Lan; Ming Li","10.3390/fractalfract6120692","fractional_periodicity","https://www.mdpi.com/2504-3110/6/12/692","https://www.mdpi.com/2504-3110/6/12/692/pdf?version=1669273778","open_access","CC BY 4.0","","Supports the distinction between the exact infinite-history/Weyl harmonic branch and finite-lower-terminal Caputo transients."
"reif1999","B","0","1999","Stochastic stability of the discrete-time extended Kalman filter","K. Reif; S. Gunther; E. Yaz; R. Unbehauen","10.1109/9.754809","ekf_stability","https://doi.org/10.1109/9.754809","","subscription","Publisher metadata and abstract only","","Classical local stochastic EKF boundedness conditions; not directly transferable to a non-Markov fractional system."
"rump2010","A","0","2010","Verification methods: Rigorous results using floating-point arithmetic","Siegfried M. Rump","10.1017/S096249291000005X","validated_numerics","https://doi.org/10.1017/S096249291000005X","https://www.tuhh.de/ti3/rump/intlab/ActaNumerica2010.pdf","author_manuscript","Author-hosted full text; metadata reviewed in T1","","Parameter-dependent interval root verification is prior art; T1 may use it but cannot claim the generic Krawczyk quantifier pattern as novel."
"johansson2017","A","0","2017","Arb: Efficient Arbitrary-Precision Midpoint-Radius Interval Arithmetic","Fredrik Johansson","10.1109/TC.2017.2690633","validated_numerics","https://doi.org/10.1109/TC.2017.2690633","https://arxiv.org/pdf/1611.02831","author_preprint","arXiv author preprint","","Primary reference for the Arb midpoint-radius arithmetic used by the exact WLS and certificate replay paths."
"neumaier1989","A","0","1989","Rigorous sensitivity analysis for parameter-dependent systems of equations","Arnold Neumaier","10.1016/0022-247X(89)90357-0","validated_numerics","https://doi.org/10.1016/0022-247X(89)90357-0","","subscription","Publisher metadata and abstract reviewed","","Affine predictors and rigorous parameter-dependent solution enclosures predate the FO-ECG specialization."
"goldsztejn_jaulin2006","A","0","2006","Inner and Outer Approximations of Existentially Quantified Equality Constraints","Alexandre Goldsztejn; Luc Jaulin","10.1007/11889205_16","validated_numerics","https://doi.org/10.1007/11889205_16","","subscription","Publisher metadata and primary paper reviewed","","Existential nuisance projection and certified inner/outer approximations are established prior art."
"ponleitner_schichl2021","A","0","2021","Exclusion regions for parameter-dependent systems of equations","Bettina Ponleitner; Hermann Schichl","10.1007/s10898-021-01082-3","validated_numerics","https://doi.org/10.1007/s10898-021-01082-3","","open_access","CC BY 4.0 publisher article; metadata and primary paper reviewed","","Direct prior art for parameter-box solution tubes; motivates limiting novelty to the gauge-reduced FO-ECG specialization."
"duff_lee2024","B","0","2024","Certified homotopy tracking using the Krawczyk method","Timothy Duff; Kisun Lee","10.1145/3666000.3669699","validated_numerics","https://doi.org/10.1145/3666000.3669699","https://arxiv.org/pdf/2402.07053","preprint","arXiv author preprint; metadata reviewed","","Confirms that parametric Krawczyk path tracking is an active established method rather than this paper's method novelty."
"malti2010","A","0","2010","Set membership parameter estimation of fractional models based on bounded frequency domain data","Rachid Malti; T. Raissi; M. Thomassin; F. Khemane","10.1016/j.cnsns.2009.05.005","fractional_set_membership","https://doi.org/10.1016/j.cnsns.2009.05.005","","subscription","Publisher metadata reviewed","","Prior bounded complex-frequency set inversion for fractional models."
"khemane2012","A","0","2012","Robust estimation of fractional models in the frequency domain using set membership methods","F. Khemane; Rachid Malti; T. Raissi; X. Moreau","10.1016/j.sigpro.2011.12.008","fractional_set_membership","https://doi.org/10.1016/j.sigpro.2011.12.008","","subscription","Publisher metadata reviewed","","Prior rectangular polar and circular complex-inclusion estimation."
"karimshoushtari2020","A","0","2020","Design of experiments for nonlinear system identification: A set membership approach","Milad Karimshoushtari; Carlo Novara","10.1016/j.automatica.2020.109036","set_membership_design","https://doi.org/10.1016/j.automatica.2020.109036","","subscription","Publisher metadata reviewed","","Generic nonlinear set-membership experiment design is prior art."
"rauh_malti2023","A","0","2023","Quantification of Time-Domain Truncation Errors for the Reinitialization of Fractional Integrators","Andreas Rauh; Rachid Malti","10.14232/actacyb.296010","fractional_observer","https://doi.org/10.14232/actacyb.296010","https://cyber.bibl.u-szeged.hu/index.php/actcybern/article/view/4290/4065","open_access","Publisher-hosted full text","","Guaranteed reset and finite-memory truncation error bounds are prior art."
"abrashov2017","A","0","2017","Simple and Robust Experiment Design for System Identification Using Fractional Models","Sergey Abrashov; Rachid Malti; Mathieu Moze; Xavier Moreau; Francois Aioun; Franck Guillemard","10.1109/TAC.2016.2614910","fractional_experiment_design","https://doi.org/10.1109/TAC.2016.2614910","","subscription","Publisher metadata and primary bibliographic indexes reviewed","","Robust experiment design for fractional models is established prior art; the present design claim is limited to the ECG gauge and certified disk geometry."
